CUSTOM.date [local],CUSTOM.updateTime [local],OSD.flyTime,OSD.flyTime [s],OSD.latitude,OSD.longitude,OSD.height [ft],OSD.heightMax [ft],OSD.vpsHeight [ft],OSD.altitude [ft],OSD.mileage [ft],OSD.hSpeed [MPH],OSD.hSpeedMax [MPH],OSD.xSpeed [MPH],OSD.xSpeedMax [MPH],OSD.ySpeed [MPH],OSD.ySpeedMax [MPH],OSD.zSpeed [MPH],OSD.zSpeedMax [MPH],OSD.pitch,OSD.roll,OSD.yaw,OSD.yaw [360],OSD.directionOfTravel,OSD.flycState,OSD.flycCommand,OSD.flightAction,OSD.gpsNum,OSD.gpsLevel,OSD.isGPSUsed,OSD.nonGPSCause,OSD.droneType,OSD.isSwaveWork,OSD.waveError,OSD.goHomeStatus,OSD.batteryType,OSD.ctrlDevice,OSD.isOnGround,OSD.isMotorOn,OSD.isMotorBlocked,OSD.motorStartFailedCause,OSD.motorFailReason,OSD.isImuPreheated,OSD.imuInitFailReason,OSD.isAcceletorOverRange,OSD.isBarometerDeadInAir,OSD.isCompassError,OSD.isGoHomeHeightModified,OSD.canIOCWork,OSD.isNotEnoughForce,OSD.isOutOfLimit,OSD.isPropellerCatapult,OSD.isVibrating,OSD.isVisionUsed,OSD.voltageWarning,GIMBAL.mode,GIMBAL.pitch,GIMBAL.roll,GIMBAL.yaw,GIMBAL.yaw [360],GIMBAL.isPitchAtLimit,GIMBAL.isRollAtLimit,GIMBAL.isYawAtLimit,GIMBAL.isStuck,CAMERA.isPhoto,CAMERA.isVideo,CAMERA.filename,CAMERA.sdCardIsInserted,CAMERA.sdCardState,RC.downlinkSignal,RC.uplinkSignal,RC.aileron,RC.elevator,RC.throttle,RC.rudder,RC.mode,RC.goHomeDepressed,RC.recordDepressed,RC.shutterDepressed,RC.playbackDepressed,RC.wheelDepressed,RC.wheelOffset,RC.custom1Depressed,RC.custom2Depressed,RC.custom3Depressed,RC.custom4Depressed,BATTERY.chargeLevel,BATTERY.currentPV [V],BATTERY.currentCapacity [mAh],BATTERY.fullCapacity [mAh],BATTERY.voltage [V],BATTERY.isCellVoltageEstimated,BATTERY.cellVoltage1 [V],BATTERY.cellVoltage2 [V],BATTERY.maxCellVoltageDeviation,BATTERY.isCellVoltageDeviationHigh,BATTERY.isVoltageLow,BATTERY.current [A],BATTERY.temperature [F],BATTERY.minTemperature [F],BATTERY.maxTemperature [F],BATTERY.usefulTime [s],BATTERY.goHomeTime [s],BATTERY.landTime [s],BATTERY.goHomeBattery,BATTERY.landBattery,BATTERY.safeFlyRadius,BATTERY.volumeConsume,BATTERY.status,BATTERY.goHomeStatus,BATTERY.goHomeCountdown,BATTERY.lowWarning,BATTERY.lowWarningGoHome,BATTERY.seriousLowWarning,BATTERY.seriousLowWarningLanding,BATTERY.timesCharged,MC.failSafeAction,MC.isObstacleAvoidanceEnabled,MC.isCollisionAvoidanceEnabled,MC.isRthObstacleAvoidanceEnabled,MC.isBraking,MC.isAvoidingObstacle,MC.isAvoidingActiveObstacle,MC.isAscentLimitedByObstacle,MC.isLandingConfirmationNeeded,MC.atLowAltitudeLimit,MC.atDistanceLimit,MC.atAirportAltitudeLimit,MC.atAirportBoundary,HOME.latitude,HOME.longitude,HOME.distance [ft],HOME.height [ft],HOME.heightLimit [ft],HOME.isHomeRecord,HOME.goHomeMode,HOME.aircraftHeadDirection,HOME.isDynamicHomePointEnabled,HOME.isReachedLimitDistance,HOME.isReachedLimitHeight,HOME.isCompassCalibrating,HOME.compassCalibrationState,HOME.isMultipleFlightModeEnabled,HOME.isBeginnerMode,HOME.isIOCEnabled,HOME.iocMode,HOME.goHomeHeight [ft],HOME.courseLockAngle,HOME.forceLandingHeight [ft],HOME.dataRecorderFileIndex,WEATHER.windDirection,WEATHER.windRelativeDirection,WEATHER.windSpeed [MPH],WEATHER.maxWindSpeed [MPH],WEATHER.windStrength,WEATHER.isFacingWind,WEATHER.isFlyingIntoWind,RECOVER.appType,RECOVER.appVersion,RECOVER.aircraftName,,,,,DETAILS.totalTime [s],DETAILS.totalDistance [ft],DETAILS.maxHeight [ft],DETAILS.maxHorizontalSpeed [MPH],DETAILS.maxVerticalSpeed [MPH],DETAILS.photoNum,DETAILS.videoTime [s],DETAILS.aircraftName,,,,,DETAILS.appName,DETAILS.appType,DETAILS.appVersion,,,,,,,SERIAL.battery2,APPGPS.latitude,APPGPS.longitude,APPGPS.accuracy,APP.tip,APP.warning
4/13/2026,29:12.9,0m 0.0s,0,50.57727881,-111.885662,0,0,0.3,2467,0,0,0,0,0,0,0,0,0,-1.7,-0.3,29.7,29.7,,Starting Motors,Auto Fly,Takeoff (RC Assisted),24,5,TRUE,,Mini 2,FALSE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-5.5,354.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Normal,,100,1684,364,364,364,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,59,7.824,1166,1978,7.824,TRUE,3.912,3.912,,FALSE,FALSE,0.616,113.5,113.5,113.5,,,,,,,,,Idle,,,,,,24,Go Home,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,,,,,,,,,,Calm,FALSE,FALSE,,1.20.0,DJI Mini 2,,,,,236.4,6,223,36.811084,12.079476,0,0,DJI Mini 2,,,,,DJI Fly,,1.20.0,,,,,,,,,,,Flight mode changed to Starting Motors.,
4/13/2026,29:13.0,0m 0.1s,0.1,50.57727887,-111.885662,0,0,0.3,2467,0,0,0,0,0,0,0,0,0,-1.7,-0.3,29.7,29.7,,Starting Motors,Auto Fly,Takeoff (RC Assisted),24,5,TRUE,,Mini 2,FALSE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-5.5,354.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Normal,,100,1684,364,364,364,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,59,7.824,1166,1978,7.824,TRUE,3.912,3.912,,FALSE,FALSE,0.616,113.5,113.5,113.5,,,,,,,,,Idle,,,,,,24,Go Home,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,,,,,,,,,,Calm,FALSE,FALSE,,1.20.0,DJI Mini 2,,,,,236.4,6,223,36.811084,12.079476,0,0,DJI Mini 2,,,,,DJI Fly,,1.20.0,,,,,,,,,,,,
4/13/2026,29:13.1,0m 0.2s,0.2,50.57727889,-111.885662,0,0,0.3,2467,0,0,0,0,0,0,0,0,0,-1.7,-0.2,29.7,29.7,,Starting Motors,Auto Fly,Takeoff (RC Assisted),24,5,TRUE,,Mini 2,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-5.5,354.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Normal,,100,1684,364,364,364,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,59,7.824,1166,1978,7.824,TRUE,3.912,3.912,,FALSE,FALSE,0.616,113.5,113.5,113.5,,,,,,,,,Idle,,,,,,24,Go Home,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,,,,,,,,,,Calm,FALSE,FALSE,,1.20.0,DJI Mini 2,,,,,236.4,6,223,36.811084,12.079476,0,0,DJI Mini 2,,,,,DJI Fly,,1.20.0,,,,,,,,,,,,
4/13/2026,29:13.2,0m 0.3s,0.3,50.57727895,-111.885662,0,0,0.3,2467,0,0,0,0,0,0,0,0,0,-1.7,-0.3,29.7,29.7,,Starting Motors,Auto Fly,Takeoff (RC Assisted),24,5,TRUE,,Mini 2,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-5.5,354.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Normal,,100,1684,364,364,364,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,59,7.824,1166,1978,7.809,TRUE,3.905,3.905,,FALSE,FALSE,0.616,113.5,113.5,113.5,,17,,,5,1937.4,484.36,,Idle,,20,,10,,24,Go Home,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,50.57725029,-111.8856853,11.7,2725.4,393.7,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,Course Lock,393.7,86.5,16.4,7,,,,,Calm,FALSE,FALSE,,1.20.0,DJI Mini 2,,,,,236.4,6,223,36.811084,12.079476,0,0,DJI Mini 2,,,,,DJI Fly,,1.20.0,,,,,,,,,,,Data Recorder File Index is 7.; Set Return to Home (RTH) altitude to 120 m (394 ft).; Set maximum flight altitude to 120 m (394 ft).,
4/13/2026,29:13.3,0m 0.4s,0.4,50.57727895,-111.885662,0,0,0.3,2467,0,0,0,0,0,0,0,0,0,-1.7,-0.3,29.7,29.7,,Starting Motors,Auto Fly,Takeoff (RC Assisted),24,5,TRUE,,Mini 2,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-5.5,354.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Normal,100,100,1684,364,364,364,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,59,7.824,1166,1978,7.809,TRUE,3.905,3.905,,FALSE,FALSE,0.616,113.5,113.5,113.5,,17,,,5,1937.4,484.36,,Idle,,20,,10,,24,Go Home,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,50.57725029,-111.8856853,11.7,2725.4,393.7,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,Course Lock,393.7,86.5,16.4,7,,,,,Calm,FALSE,FALSE,,1.20.0,DJI Mini 2,,,,,236.4,6,223,36.811084,12.079476,0,0,DJI Mini 2,,,,,DJI Fly,,1.20.0,,,,,,,,,,,,
4/13/2026,29:13.4,0m 0.5s,0.5,50.57727895,-111.885662,0,0,0.3,2467,0,0,0,0,0,0,0,0,0,-1.7,-0.3,29.7,29.7,,Starting Motors,Auto Fly,Takeoff (RC Assisted),24,5,TRUE,,Mini 2,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-5.5,354.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Normal,100,100,1684,364,364,364,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,59,7.824,1166,1978,7.809,TRUE,3.905,3.905,,FALSE,FALSE,0.616,113.5,113.5,113.5,,17,,,5,1937.4,484.36,,Idle,,20,,10,,24,Go Home,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,50.57725029,-111.8856853,11.7,2725.4,393.7,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,Course Lock,393.7,86.5,16.4,7,,,,,Calm,FALSE,FALSE,,1.20.0,DJI Mini 2,,,,,236.4,6,223,36.811084,12.079476,0,0,DJI Mini 2,,,,,DJI Fly,,1.20.0,,,,,,,,,,,,
4/13/2026,29:13.5,0m 0.6s,0.6,50.577279,-111.885662,0,0,0.3,2467,0,0,0,0,0,0,0,0,0,-1.7,-0.3,29.7,29.7,,Starting Motors,Auto Fly,Takeoff (RC Assisted),24,5,TRUE,,Mini 2,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-5.5,354.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Normal,100,100,1024,1024,1262,364,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,59,7.824,1166,1978,7.809,TRUE,3.905,3.905,,FALSE,FALSE,0.616,113.5,113.5,113.5,,17,,,5,1937.4,484.36,,Idle,,20,,10,,24,Go Home,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,50.57725029,-111.8856853,11.7,2725.4,393.7,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,Course Lock,393.7,86.5,16.4,7,,,,,Calm,FALSE,FALSE,,1.20.0,DJI Mini 2,,,,,236.4,6,223,36.811084,12.079476,0,0,DJI Mini 2,,,,,DJI Fly,,1.20.0,,,,,,,,,,,,
4/13/2026,29:13.6,0m 0.7s,0.7,50.57727907,-111.885662,0,0,0.3,2467,0,0,0,0,0,0,0,0,0,-1.7,-0.3,29.7,29.7,,Starting Motors,Auto Fly,Takeoff (RC Assisted),24,5,TRUE,,Mini 2,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-5.5,354.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Normal,100,100,1024,1024,1684,364,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,59,7.804,1166,1978,7.809,FALSE,3.907,3.897,0.01,FALSE,FALSE,0.731,113.5,113.5,113.5,,17,,,5,1937.4,484.36,,Idle,,20,,10,,24,Go Home,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,50.57725029,-111.8856853,11.8,2725.4,393.7,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,Course Lock,393.7,86.5,16.4,7,,,,,Calm,FALSE,FALSE,,1.20.0,DJI Mini 2,,,,,236.4,6,223,36.811084,12.079476,0,0,DJI Mini 2,,,,,DJI Fly,,1.20.0,,,,,,,,,,,,
4/13/2026,29:13.7,0m 0.8s,0.8,50.57727909,-111.8856619,0,0,0.3,2467,0,0,0,0,0,0,0,0,0,-1.7,-0.2,29.7,29.7,,Starting Motors,Auto Fly,Takeoff (RC Assisted),24,5,TRUE,,Mini 2,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-5.5,354.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Normal,100,100,1024,1024,1684,364,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,59,7.804,1166,1978,7.809,FALSE,3.907,3.897,0.01,FALSE,FALSE,0.731,113.5,113.5,113.5,,17,,,5,1937.4,484.36,,Idle,,20,,10,,24,Go Home,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,50.57725029,-111.8856853,11.8,2725.4,393.7,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,Course Lock,393.7,86.5,16.4,7,,,,,Calm,FALSE,FALSE,,1.20.0,DJI Mini 2,,,,,236.4,6,223,36.811084,12.079476,0,0,DJI Mini 2,,,,,DJI Fly,,1.20.0,,,,,,,,,,,,
4/13/2026,29:13.8,0m 0.9s,0.9,50.5772791,-111.8856619,0,0,0.3,2467,0.1,0,0,0,0,0,0,0,0,-1.7,-0.3,29.7,29.7,,Starting Motors,Auto Fly,Takeoff (RC Assisted),24,5,TRUE,,Mini 2,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-5.5,354.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Normal,100,100,1024,1024,1684,364,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,59,7.804,1166,1978,7.809,FALSE,3.907,3.897,0.01,FALSE,FALSE,0.731,113.5,113.5,113.5,,17,,,5,1937.4,484.36,,Idle,,20,,10,,24,Go Home,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,50.57725029,-111.8856853,11.8,2725.4,393.7,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,Course Lock,393.7,86.5,16.4,7,,,,,Calm,FALSE,FALSE,,1.20.0,DJI Mini 2,,,,,236.4,6,223,36.811084,12.079476,0,0,DJI Mini 2,,,,,DJI Fly,,1.20.0,,,,,,,,,,,,
